"Date","Vendor Name","Bill Number/Invoice Number","Bill Amount","Cash Paid","Online Paid ","Owner Paid","Due","Date of Purchase","Date of Bill Clear","Note/Remarks","Invoice Picture"
"26/03/2026","COOCH BEHAR BAZAAR  ( OIL, DIM, ANMOL DREMLITE)","","3285","3285","","","","26/03/2026","26/03/2026","",""
"27/03/2026","NYKAA SUPER STORE","NYD006111118","2319","2319","","","","27/03/2026","27/03/2026","",""
"27/03/2026","SUTRADHAR EXPORT & IMPORT","499","749","749","","","","27/03/2026","27/03/2026","",""
"28/03/2026","SANJAY SALES AGENCIES ","25-26/SSA-11243","4053","4053","","","","28/03/2026","28/03/2026","",""
"28/03/2026","SUTRADHAR EXPORT & IMPORT","501","405","405","","","","28/03/2026","28/03/0202","",""
"30/03/2026","GOURI SANKAR ASSOCIATES","I/25-26/083484","853","853","","","","30/03/2026","30/03/2026","",""
"30/03/2026","GOURI SHANKAR AGENCY","FSL420868","1180","1180","","","","30/03/2026","30/03/2026","",""
"30/03/2026","COOCH BEHAR BAZAAR   (AMUL DAHI,PANEER)","","1031","1031","","","","30/03/2026","30/03/2026","",""
"30/03/2026","PRAN","63","474","474","","","","30/03/2026","30/03/2026","",""
"31/03/2026","GOURI SHNKAR ASSOCIATES","I/25-26/083720","560","560","","","","31/03/2026","31/03/2026","",""
"31/03/2026","COOCH BEHAR BAZAAR   (NAKUL DANA ,BATASHA,COCO NUT OIL) ","","775","775","","","","31/03/2026","31/03/2026","",""
"31/03/2026","COOCH BEHAR BAZAAR   (OIL)","","5540","5540","","","","31/03/2026","31/03/2026","",""
"31/03/2026","PAUL & SONS","16388","1440","1440","","","","31/03/2026","31/03/2026","",""
"31/03/2026","SANJAY SALES AGENCIES ","25-26/CV-1228","2550","2550","","","","31/03/2026","31/03/2026","",""
"31/03/2026","SOYETA TRADING CO","GTE96622","1771","1771","","","","31/03/2026","31/03/2026","",""
"01/04/2026","NYKAA E - RETAIL LIMITED ( SUPER STORE )","NYK-342701744-1434159-1","3531","","","3531","","01/04/2026","01/04/2026","",""
